Symbol,Name,Sector
RELIANCE.BO,Reliance Industries,Energy
TCS.BO,Tata Consultancy Services,Technology
HDFCBANK.BO,HDFC Bank,Financials
INFY.BO,Infosys,Technology
ICICIBANK.BO,ICICI Bank,Financials
HINDUNILVR.BO,Hindustan Unilever,Consumer Staples
SBIN.BO,State Bank of India,Financials
BAJFINANCE.BO,Bajaj Finance,Financials
BHARTIARTL.BO,Bharti Airtel,Communication Services
KOTAKBANK.BO,Kotak Mahindra Bank,Financials
LT.BO,Larsen & Toubro,Industrials
AXISBANK.BO,Axis Bank,Financials
ASIANPAINT.BO,Asian Paints,Materials
MARUTI.BO,Maruti Suzuki,Consumer Discretionary
SUNPHARMA.BO,Sun Pharmaceutical,Health Care
TITAN.BO,Titan Company,Consumer Discretionary
WIPRO.BO,Wipro,Technology
ULTRACEMCO.BO,UltraTech Cement,Materials
NESTLEIND.BO,Nestle India,Consumer Staples
POWERGRID.BO,Power Grid Corp,Utilities
NTPC.BO,NTPC,Utilities
TECHM.BO,Tech Mahindra,Technology
ONGC.BO,Oil & Natural Gas Corp,Energy
HCLTECH.BO,HCL Technologies,Technology
TATAMOTORS.BO,Tata Motors,Consumer Discretionary
ADANIENT.BO,Adani Enterprises,Industrials
HINDALCO.BO,Hindalco Industries,Materials
JSWSTEEL.BO,JSW Steel,Materials
TATASTEEL.BO,Tata Steel,Materials
BAJAJFINSV.BO,Bajaj Finserv,Financials
COALINDIA.BO,Coal India,Energy
DRREDDY.BO,Dr Reddy's Laboratories,Health Care
DIVISLAB.BO,Divi's Laboratories,Health Care
CIPLA.BO,Cipla,Health Care
M&M.BO,Mahindra & Mahindra,Consumer Discretionary
GRASIM.BO,Grasim Industries,Materials
HEROMOTOCO.BO,Hero MotoCorp,Consumer Discretionary
EICHERMOT.BO,Eicher Motors,Consumer Discretionary
SBILIFE.BO,SBI Life Insurance,Financials
HDFCLIFE.BO,HDFC Life Insurance,Financials
INDUSINDBK.BO,IndusInd Bank,Financials
BPCL.BO,Bharat Petroleum Corp,Energy
BRITANNIA.BO,Britannia Industries,Consumer Staples
ITC.BO,ITC,Consumer Staples
APOLLOHOSP.BO,Apollo Hospitals,Health Care
BAJAJ-AUTO.BO,Bajaj Auto,Consumer Discretionary
TATACONSUM.BO,Tata Consumer Products,Consumer Staples
UPL.BO,UPL,Materials
SHREECEM.BO,Shree Cement,Materials
ADANIPORTS.BO,Adani Ports,Industrials
