Symbol,Name,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,Technology
HDFCBANK.NS,HDFC Bank,Financials
INFY.NS,Infosys,Technology
ICICIBANK.NS,ICICI Bank,Financials
HINDUNILVR.NS,Hindustan Unilever,Consumer Staples
SBIN.NS,State Bank of India,Financials
BAJFINANCE.NS,Bajaj Finance,Financials
BHARTIARTL.NS,Bharti Airtel,Communication Services
KOTAKBANK.NS,Kotak Mahindra Bank,Financials
LT.NS,Larsen & Toubro,Industrials
AXISBANK.NS,Axis Bank,Financials
ASIANPAINT.NS,Asian Paints,Materials
MARUTI.NS,Maruti Suzuki,Consumer Discretionary
SUNPHARMA.NS,Sun Pharmaceutical,Health Care
TITAN.NS,Titan Company,Consumer Discretionary
WIPRO.NS,Wipro,Technology
ULTRACEMCO.NS,UltraTech Cement,Materials
NESTLEIND.NS,Nestle India,Consumer Staples
POWERGRID.NS,Power Grid Corp,Utilities
NTPC.NS,NTPC,Utilities
TECHM.NS,Tech Mahindra,Technology
ONGC.NS,Oil & Natural Gas Corp,Energy
HCLTECH.NS,HCL Technologies,Technology
TATAMOTORS.NS,Tata Motors,Consumer Discretionary
ADANIENT.NS,Adani Enterprises,Industrials
HINDALCO.NS,Hindalco Industries,Materials
JSWSTEEL.NS,JSW Steel,Materials
TATASTEEL.NS,Tata Steel,Materials
BAJAJFINSV.NS,Bajaj Finserv,Financials
COALINDIA.NS,Coal India,Energy
DRREDDY.NS,Dr Reddy's Laboratories,Health Care
DIVISLAB.NS,Divi's Laboratories,Health Care
CIPLA.NS,Cipla,Health Care
M&M.NS,Mahindra & Mahindra,Consumer Discretionary
GRASIM.NS,Grasim Industries,Materials
HEROMOTOCO.NS,Hero MotoCorp,Consumer Discretionary
EICHERMOT.NS,Eicher Motors,Consumer Discretionary
SBILIFE.NS,SBI Life Insurance,Financials
HDFCLIFE.NS,HDFC Life Insurance,Financials
INDUSINDBK.NS,IndusInd Bank,Financials
BPCL.NS,Bharat Petroleum Corp,Energy
BRITANNIA.NS,Britannia Industries,Consumer Staples
ITC.NS,ITC,Consumer Staples
APOLLOHOSP.NS,Apollo Hospitals,Health Care
BAJAJ-AUTO.NS,Bajaj Auto,Consumer Discretionary
TATACONSUM.NS,Tata Consumer Products,Consumer Staples
UPL.NS,UPL,Materials
SHREECEM.NS,Shree Cement,Materials
ADANIPORTS.NS,Adani Ports,Industrials
